"","year","ward","cost","category","program","description"
"1",2012,1,6354,"Streets & Transportation","Alley Resurfacing Menu","N WESTERN AVE & N CLAREMONT AVE & W NORTH AVE & W LE MOYNE ST"
"2",2012,1,2800,"Streets & Transportation","Alley Speed Hump Menu","N WOOD ST & N HONORE ST & W AUGUSTA BLVD & W IOWA ST"
"3",2012,1,3150,"Streets & Transportation","Bollard Menu","ON W BELMONT AVE FROM 2441 W TO N CAMPBELL AV (2500 W)"
"4",2012,1,19882,"Streets & Transportation","Curb & Gutter Menu","ON N MAPLEWOOD AVE FROM W BELDEN AV (2300 N) TO W MEDILL AV (2334 N)"
"5",2012,1,1000,"Streets & Transportation","Pavement Markings","W CHARLESTON ST & N WESTERN AVE"
"6",2012,1,400,"Streets & Transportation","Pavement Markings","W ARMITAGE AVE & N MILWAUKEE AVE"
"7",2012,1,600,"Streets & Transportation","Pavement Markings","W DIVERSEY PKWY & N ROCKWELL ST"
"8",2012,1,11954,"Streets & Transportation","Sidewalk Menu","ON W BELDEN AVE FROM N TALMAN AV (2632 W) TO N WASHTENAW AV (2720 W)"
"9",2012,1,10065,"Streets & Transportation","Sidewalk Menu","ON N WOOD ST FROM W BEACH AV (1422 N) TO W LE MOYNE ST (1508 N)"
"10",2012,1,1594,"Streets & Transportation","Sidewalk Menu","ON N MARION CT FROM W DIVISION ST (1200 N) TO W ELLEN ST (1320 N)"
"11",2012,1,193749,"Streets & Transportation","Street Resurfacing Menu","ON N CAMPBELL AVE FROM W NORTH AV (1600 N) TO W CORTLAND ST (1900 N)"
"12",2012,1,73623,"Streets & Transportation","Street Resurfacing Menu","ON N ROCKWELL ST FROM W CORTLAND ST (1900 N) TO W ARMITAGE AV (2000 N)"
"13",2012,1,10588,"Streets & Transportation","Street Resurfacing Menu","ON W JULIA CT FROM N STAVE ST (2728 W) TO Dead End (2726 W)"
"14",2012,1,19195,"Streets & Transportation","Street Resurfacing Menu","ON W LE MOYNE ST FROM N OAKLEY BV (2300 W) TO N CLAREMONT AV (2332 W)"
"15",2012,1,34143,"Streets & Transportation","Street Resurfacing Menu","ON W CHARLESTON ST FROM N CAMPBELL AV (2450 W) TO N MAPLEWOOD AV (2535 W)"
"16",2012,1,47986,"Streets & Transportation","Street Resurfacing Menu","ON N ROCKWELL ST FROM N MILWAUKEE AV (2125 N) TO W LYNDALE ST (2236 N)"
"17",2012,1,3700,"Streets & Transportation","Street Speed Hump Menu","ON N ELK GROVE AVE FROM N WOOD ST (1800 W) TO W NORTH AV (1600 N)"
"18",2012,1,3700,"Streets & Transportation","Street Speed Hump Menu","ON N MARION CT FROM W DIVISION ST (1200 N) TO W ELLEN ST (1320 N)"
"19",2012,1,3700,"Streets & Transportation","Street Speed Hump Menu","ON N ROCKWELL ST FROM W FULLERTON AV (2400 N) TO W ALTGELD ST (2500 N)"
"20",2012,1,3700,"Streets & Transportation","Street Speed Hump Menu","ON W ST PAUL AVE FROM N WINNEBAGO AV (2269 W) TO N WESTERN AV (2400 W)"
"21",2012,1,2500,"Lighting","Floodlight Menu","W POTOMAC AVE & N LEAVITT ST"
"22",2012,1,500,"Lighting","Floodlight Menu","N CAMPBELL AVE & W IOWA ST"
"23",2012,1,1000,"Lighting","Floodlight Menu",""
"24",2012,1,15011,"Streets & Transportation","Pedestrian Countdown","N WESTERN AVE & W NORTH AVE"
